Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
"Margaret Rhea Seddon (born November 8, 1947) is a physician and retired NASA astronaut.","Margaret Rhea Seddon <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Margaret Rhea Seddon <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Bull was a Navy fighter pilot with the VF-114 squadron aboard the carriers USS Ranger, USS Hancock, and USS Kitty Hawk.","VF-114 <b><font color=""red"">militaryBranch</font></b> Navy",,,,,,,,,,,"USS Ranger <b><font color=""red"">type</font></b> the carriers",,,,,,,,,,,,,,,
He received a bachelor of science degree in Mechanical Engineering from Rice University in 1957 before joining the Navy in June of that same year.,"1957 <b><font color=""red"">type</font></b> that same year",,,,,,,,,,,,,,,,,,,,,,,,,,
"John Sumter Bull (September 25, 1934  August 11, 2008) was a U.S. Navy test pilot, aeronautical engineer, and a NASA astronaut.","John Sumter Bull <b><font color=""red"">nationality</font></b> U.S.",,,,,,,,,,,"John Sumter Bull <b><font color=""red"">rank</font></b> Navy",,,,,,,,,"John Sumter Bull <b><font color=""red"">occupation</font></b> test pilot","John Sumter Bull <b><font color=""red"">type</font></b> NASA","John Sumter Bull <b><font color=""red"">type</font></b> astronaut",,,,
"The mission marked the Shuttle's first use of an upper stage rocket for payloads, the Payload Assist Module (PAM-D).","Shuttle <b><font color=""red"">type</font></b> rocket",,,,,,,,,,,,,,,,,,,,,,,,,,
"His crew comprised Colonel Robert Overmyer, pilot, and two mission specialists, Dr. Joseph P. Allen and Dr. William B. Lenoir.","Robert Overmyer <b><font color=""red"">rank</font></b> Colonel",,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand was commander of Space Shuttle Columbia for STS-5, the first fully operational flight of the Space Shuttle program, which launched on November 11, 1982.","Brand <b><font color=""red"">mission</font></b> STS-5",,,,,,,,,,,"STS-5 <b><font color=""red"">crew1Up</font></b> Brand",,,,,,,,,"STS-5 <b><font color=""red"">crewMembers</font></b> Brand","STS-5 <b><font color=""red"">programme</font></b> the Space Shuttle program",,,,,
"Vance DeVoe Brand (born May 9, 1931) is a former test pilot and NASA astronaut.","Vance <b><font color=""red"">occupation</font></b> a former test pilot",,,,,,,,,,,"Vance <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Vance <b><font color=""red"">type</font></b> astronaut","Vance <b><font color=""red"">occupation</font></b> a former test pilot","Vance <b><font color=""red"">type</font></b> NASA","Vance <b><font color=""red"">type</font></b> astronaut",,,
"Robert Aitken Rushworth (October 9, 1924 - March 17, 1993) was a United States Air Force test pilot for the North American X-15 program.","Rushworth <b><font color=""red"">rank</font></b> United States Air Force",,,,,,,,,,,"North American X-15 <b><font color=""red"">primaryUser</font></b> United States Air Force",,,,,,,,,"Rushworth <b><font color=""red"">occupation</font></b> test pilot","North American X-15 <b><font color=""red"">moreUsers</font></b> program",,,,,
"The Estonian band Spruse Puiestee (Friendship Boulevard)] wrote a song ""Planeetidegi vahel kehtib raskus"" (""Difficulty stands even between planets"") in honor of Komarov.","vahel <b><font color=""red"">country</font></b> Estonian",,,,,,,,,,,,,,,,,,,,,,,,,,
"There was formerly a Soviet satellite-tracking ship named for Komarov, the Kosmonaut Vladimir Komarov.","Komarov <b><font color=""red"">type</font></b> ship",,,,,,,,,,,"Komarov <b><font color=""red"">type</font></b> ship",,,,,,,,,,,,,,,
This asteroid and the cosmonaut inspired the composer Brett Dean to write a piece of symphonic music commissioned by conductor Simon Rattle in 2006.,"a piece <b><font color=""red"">occupation</font></b> composer",,,,,,,,,,,,,,,,,,,,,,,,,,
"After Komarov's death, the communications systems on-board all Soviet spacecraft were modified  because Komarov's voice transmissions from Soyuz 1 had blocked its telemetry signals.","Komarov <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,"Komarov <b><font color=""red"">deathPlace</font></b> Soviet",,,,,,,,,"Komarov <b><font color=""red"">nationality</font></b> Soviet","Komarov <b><font color=""red"">mission</font></b> Soyuz 1",,,,,
Komarov was assigned to the Soviet Soyuz program along with Yuri Gagarin and Alexei Leonov.,"Yuri Gagarin <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,"Alexei Leonov <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,,,,,
Kamanin played tennis with the Voskhod crew that evening and noted that Komarov played poorly in comparison to his crew: Boris Yegorov and Konstantin Feoktistov.,"Voskhod <b><font color=""red"">crew3Up</font></b> Boris Yegorov",,,,,,,,,,,"Voskhod <b><font color=""red"">crewMembers</font></b> Boris Yegorov",,,,,,,,,"Boris Yegorov <b><font color=""red"">mission</font></b> Voskhod","Voskhod <b><font color=""red"">crew2Up</font></b> Konstantin Feoktistov","Voskhod <b><font color=""red"">crewMembers</font></b> Konstantin Feoktistov","Konstantin Feoktistov <b><font color=""red"">mission</font></b> Voskhod",,,
"On July 6, Komarov was named as the commander of the back-up crew for Voskhod 1.","Komarov <b><font color=""red"">mission</font></b> Voskhod 1",,,,,,,,,,,,,,,,,,,,,,,,,,
"Fellow cosmonaut Alexei Leonov described him as ""very serious.","Alexei Leonov <b><font color=""red"">occupation</font></b> cosmonaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1963, cosmonaut training was conducted in 6 Groups, with Komarov being selected in Group 2 with Valery Bykovsky and Volynov.","Valery <b><font color=""red"">type</font></b> cosmonaut",,,,,,,,,,,"Valery <b><font color=""red"">type</font></b> cosmonaut",,,,,,,,,,,,,,,
"He earned 528 rubles a year, with only cosmonauts 1 and 2 Yuri Gagarin and Gherman Titov being more highly paid.","Gherman Titov <b><font color=""red"">type</font></b> cosmonauts",,,,,,,,,,,,,,,,,,,,,,,,,,
"Of the first intake, only two members, Pavel Belyayev (of Voskhod 2) and Komarov, were also graduates of the Soviet Air Force Academy.","Pavel Belyayev <b><font color=""red"">mission</font></b> Voskhod 2",,,,,,,,,,,"Voskhod 2 <b><font color=""red"">crew1Up</font></b> Pavel Belyayev",,,,,,,,,"Voskhod 2 <b><font color=""red"">crewMembers</font></b> Pavel Belyayev",,,,,,
Komarov was later chosen for the rigorous task of commanding Soyuz 1 as part of the Soviet Union's bid to reach the Moon first.,"Komarov <b><font color=""red"">mission</font></b> Soyuz 1",,,,,,,,,,,"Komarov <b><font color=""red"">birthPlace</font></b> Soviet Union",,,,,,,,,"Komarov <b><font color=""red"">deathPlace</font></b> Soviet Union","Komarov <b><font color=""red"">nationality</font></b> Soviet Union",,,,,
He was eventually selected to command the first Soviet multiman Voskhod 1 spaceflight that presented a number of technical innovations in the Space Race.,"Voskhod <b><font color=""red"">countryOrigin</font></b> Soviet",,,,,,,,,,,,,,,,,,,,,,,,,,
"On 15 November 2010, Skripochka participated in a spacewalk with fellow Russian cosmonaut and Expedition 25 Flight Engineer Fyodor Yurchikhin.","Skripochka <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Skripochka <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,"Fyodor Yurchikhin <b><font color=""red"">nationality</font></b> Russian","Skripochka <b><font color=""red"">mission</font></b> Expedition 25","Expedition 25 <b><font color=""red"">crewMembers</font></b> Skripochka","Expedition 25 <b><font color=""red"">crewMembers</font></b> Fyodor Yurchikhin","Fyodor Yurchikhin <b><font color=""red"">mission</font></b> Expedition 25",,
Skripochka participated in three spacewalks during his stay aboard the space station as an Expedition 25 and 26 Flight Engineer.,"Skripochka <b><font color=""red"">mission</font></b> an Expedition 25",,,,,,,,,,,"an Expedition 25 <b><font color=""red"">crewMembers</font></b> Skripochka",,,,,,,,,,,,,,,
"Following a nominal re-entry, the Soyuz capsule touched down on its side at 7:54 GMT near Arkalyk in north central Kazakhstan.","Arkalyk <b><font color=""red"">country</font></b> Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,
Skripochka arrived at the ISS after the Soyuz spacecraft linked up with the space station at 00:01 UTC on 10 October 2010.,"the ISS <b><font color=""red"">type</font></b> the space station",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oleg Ivanovich Skripochka (born 24 December 1969 in Nevinnomyssk, Stavropol Krai, Russia) is a Russian cosmonaut.","Oleg Ivanovich Skripochka <b><font color=""red"">birthPlace</font></b> Nevinnomyssk",,,,,,,,,,,"Nevinnomyssk <b><font color=""red"">federalSubject</font></b> Stavropol Krai",,,,,,,,,"Oleg Ivanovich Skripochka <b><font color=""red"">birthPlace</font></b> Stavropol Krai","Stavropol Krai <b><font color=""red"">country</font></b> Russian","Stavropol Krai <b><font color=""red"">country</font></b> Russian","Oleg Ivanovich Skripochka <b><font color=""red"">birthPlace</font></b> Russian","Oleg Ivanovich Skripochka <b><font color=""red"">nationality</font></b> Russian","Oleg Ivanovich Skripochka <b><font color=""red"">birthPlace</font></b> Russian","Oleg Ivanovich Skripochka <b><font color=""red"">nationality</font></b> Russian"
"Farkas, along with Soviet cosmonaut Valeri Kubasov, was launched into space on Soyuz 36 from Baikonur Cosmodrome on May 26, 1980, at 18:20 (GMT).","Valeri Kubasov <b><font color=""red"">nationality</font></b> Soviet",,,,,,,,,,,"Valeri Kubasov <b><font color=""red"">type</font></b> cosmonaut",,,,,,,,,"Valeri Kubasov <b><font color=""red"">type</font></b> cosmonaut","Farkas <b><font color=""red"">mission</font></b> Soyuz 36","Soyuz 36 <b><font color=""red"">crew2Up</font></b> Farkas","Soyuz 36 <b><font color=""red"">crewLaunching</font></b> Farkas","Soyuz 36 <b><font color=""red"">launchSite</font></b> Baikonur Cosmodrome",,
"After earning his qualifications at University, Farkas joined the Hungarian Air Force and rose to the rank of Brigadier General.","Farkas <b><font color=""red"">rank</font></b> the Hungarian Air Force",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bertalan Farkas (born August 2, 1949) was the first Hungarian cosmonaut and the first Esperantist in space.","Bertalan Farkas <b><font color=""red"">nationality</font></b> Hungarian",,,,,,,,,,,,,,,,,,,,,,,,,,
"The third and last flight of Romanenko was on Soyuz TM-2 with Aleksandr Laveykin on February 6, 1987 to the Mir station.","Soyuz TM-2 <b><font color=""red"">crewMembers</font></b> Aleksandr Laveykin",,,,,,,,,,,,,,,,,,,,,,,,,,
"They spent 96 days and 10 hours on the orbit, meeting Soyuz 27, Soyuz 28 and Progress 1.","Soyuz 27 <b><font color=""red"">nextMission</font></b> Soyuz 28",,,,,,,,,,,"Soyuz 28 <b><font color=""red"">previousMission</font></b> Soyuz 27",,,,,,,,,,,,,,,
"Yury Romanenko was born on August 1, 1944 in Koltubanovskiy village in Orenburg Oblast, Soviet Union.","Yury Romanenko <b><font color=""red"">birthPlace</font></b> Orenburg Oblast",,,,,,,,,,,"Yury Romanenko <b><font color=""red"">nationality</font></b> Soviet Union",,,,,,,,,,,,,,,
"His son, Roman Romanenko is also a cosmonaut, and has become the third second-generation space traveler on Soyuz TMA-15 in May 2009.","Roman Romanenko <b><font color=""red"">mission</font></b> Soyuz TMA-15",,,,,,,,,,,"Soyuz TMA-15 <b><font color=""red"">crew1Up</font></b> Roman Romanenko",,,,,,,,,"Soyuz TMA-15 <b><font color=""red"">crewMembers</font></b> Roman Romanenko",,,,,,
"In 1987 he was a resident of the Mir space station, launching on Soyuz TM-2 and landing aboard Soyuz TM-3.","TM-2 <b><font color=""red"">nextMission</font></b> Soyuz TM-3",,,,,,,,,,,"Soyuz TM-3 <b><font color=""red"">previousMission</font></b> TM-2",,,,,,,,,,,,,,,
"After the flight of Voskhod 1, Feoktistov's training for any further space mission was discontinued for medical reasons.","Feoktistov <b><font color=""red"">mission</font></b> Voskhod 1",,,,,,,,,,,"Voskhod 1 <b><font color=""red"">crew2Up</font></b> Feoktistov",,,,,,,,,"Voskhod 1 <b><font color=""red"">crewMembers</font></b> Feoktistov",,,,,,
Feoktistov was able to crawl out later and then make his way to the Soviet lines.,"Feoktistov <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,,,,,,,,,,,,,,,,
"After being captured by an Waffen-SS Army patrol, Feoktistov was shot by a German officer.","Army <b><font color=""red"">country</font></b> German",,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantin Petrovich Feoktistov (Russian: ?????????? ???????? ??????????; 7 February 1926  21 November 2009) was a Soviet cosmonaut and an eminent space engineer.,"Konstantin Petrovich Feoktistov <b><font color=""red"">deathPlace</font></b> Russian",,,,,,,,,,,"Russian <b><font color=""red"">establishedEvent</font></b> Soviet",,,,,,,,,"Konstantin Petrovich Feoktistov <b><font color=""red"">birthPlace</font></b> Soviet","Konstantin Petrovich Feoktistov <b><font color=""red"">type</font></b> cosmonaut","Konstantin Petrovich Feoktistov <b><font color=""red"">type</font></b> cosmonaut",,,,
At least one commentator suggested this was a veiled criticism of the US government's lack of funding for the space program.,"the space program <b><font color=""red"">jurisdiction</font></b> US government",,,,,,,,,,,,,,,,,,,,,,,,,,
"With her husband, astronaut Dr. William Frederick Fisher, she had two daughters, Kristin Anne (b. July 29, 1983) and Kara Lynne (b.January 10, 1989).","her husband <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"William Frederick Fisher <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Kristin <b><font color=""red"">actor</font></b> Kara",,,,,,
The following year she moved to the UCLA medical school and received her doctor of Medicine degree in 1976.,"1976 <b><font color=""red"">type</font></b> year",,,,,,,,,,,"her doctor <b><font color=""red"">activitySector</font></b> Medicine",,,,,,,,,,,,,,,
"She went on to received a bachelor of science in Chemistry in 1971 at the University of California, Los Angeles (UCLA).","California <b><font color=""red"">largestCity</font></b> Los Angeles",,,,,,,,,,,"Los Angeles <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,,,,,,
"Anna Lee Tingle Fisher (ne Sims) (born August 24, 1949) is an American chemist and a NASA astronaut.","Anna Lee Tingle Fisher <b><font color=""red"">nationality</font></b> American",,,,,,,,,,,"Anna Lee Tingle Fisher <b><font color=""red"">occupation</font></b> chemist",,,,,,,,,"Anna Lee Tingle Fisher <b><font color=""red"">type</font></b> NASA","Anna Lee Tingle Fisher <b><font color=""red"">type</font></b> astronaut",,,,,
"Phillips was detailed to the U.S. Naval Postgraduate School in Monterey, CA, from 2009 to 2011 as the Smith/McCool NASA Chair Professor.","Professor <b><font color=""red"">occupation</font></b> Chair",,,,,,,,,,,,,,,,,,,,,,,,,,
"Phillips and Krikalev, along with Space Flight Participant Gregory Olsen, returned to Earth aboard Soyuz TMA-6 on October 11, 2005.","Soyuz TMA-6 <b><font color=""red"">crew1Up</font></b> Phillips and Krikalev",,,,,,,,,,,"Soyuz TMA-6 <b><font color=""red"">crewMembers</font></b> Phillips and Krikalev",,,,,,,,,"Soyuz TMA-6 <b><font color=""red"">details3Down</font></b> Space Flight Participant","Gregory Olsen <b><font color=""red"">mission</font></b> Soyuz TMA-6","Soyuz TMA-6 <b><font color=""red"">crewLanding</font></b> Gregory Olsen","Soyuz TMA-6 <b><font color=""red"">crew3Down</font></b> Gregory Olsen",,,
"On April 15, 2005, Phillips, along with his fellow crew-members Sergei Krikalev, and Roberto Vittori launched to the ISS aboard Soyuz TMA-6.","Soyuz TMA-6 <b><font color=""red"">crew1Up</font></b> Sergei Krikalev",,,,,,,,,,,"Soyuz TMA-6 <b><font color=""red"">crewMembers</font></b> Sergei Krikalev",,,,,,,,,"Roberto Vittori <b><font color=""red"">mission</font></b> Soyuz TMA-6","Soyuz TMA-6 <b><font color=""red"">crew3Up</font></b> Roberto Vittori","Soyuz TMA-6 <b><font color=""red"">crewLaunching</font></b> Roberto Vittori",,,,
"Selected by NASA in April 1996, Phillips reported to the Johnson Space Center in August 1996.","the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,"Phillips <b><font color=""red"">target</font></b> the Johnson Space Center",,,,,,,,,,,,,,,
"He has authored 156 scientific papers dealing with the plasma environments of the sun, earth, other planets, comets and spacecraft.","earth <b><font color=""red"">type</font></b> other planets",,,,,,,,,,,,,,,,,,,,,,,,,,
"He is married to the former Laura Jean Doell of Scotia, New York.","Scotia <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,,,,,,,,,,,,,,,,,,
"John Lynch Phillips, PhD (born April 15, 1951) is a NASA astronaut.","John Lynch Phillips <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"John Lynch Phillips <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Healey left Rockwell to manage a military aircraft program taking the Fairchild-Republic A-10 Thunderbolt II, a close air support (CAS) aircraft, from prototype to production.","Rockwell <b><font color=""red"">battle</font></b> II",,,,,,,,,,,"A-10 Thunderbolt <b><font color=""red"">manufacturer</font></b> Fairchild-Republic",,,,,,,,,"A-10 Thunderbolt <b><font color=""red"">type</font></b> aircraft",,,,,,
"After Apollo, Healey was assigned to the Rockwell B-1 Lancer program; a supersonic strategic bomber designed to replace the aging B-52.","Rockwell B-1 Lancer <b><font color=""red"">type</font></b> strategic bomber",,,,,,,,,,,"B-52 <b><font color=""red"">type</font></b> strategic bomber",,,,,,,,,,,,,,,
"Apollo 8 (December 1968), was the first manned spacecraft to orbit another celestial body.","Apollo 8 <b><font color=""red"">type</font></b> another celestial body",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2007, Sheikh Muszaphar was selected to fly to the International Space Station with Expedition 16 on board the Soyuz TMA-11 in October 2007.","Sheikh Muszaphar <b><font color=""red"">mission</font></b> the Soyuz TMA-11",,,,,,,,,,,"the Soyuz TMA-11 <b><font color=""red"">crew3Up</font></b> Sheikh Muszaphar",,,,,,,,,"the Soyuz TMA-11 <b><font color=""red"">crewLaunching</font></b> Sheikh Muszaphar","Expedition 16 <b><font color=""red"">programme</font></b> the International Space Station","Expedition 16 <b><font color=""red"">spaceStation</font></b> the International Space Station","Expedition 16 <b><font color=""red"">arrivalCraft</font></b> the Soyuz TMA-11","Expedition 16 <b><font color=""red"">departureCraft</font></b> the Soyuz TMA-11","the Soyuz TMA-11 <b><font color=""red"">expedition1Up</font></b> Expedition 16","the Soyuz TMA-11 <b><font color=""red"">expedition2Up</font></b> Expedition 16"
"Faiz received his early education in St. John's Institution, Kuala Lumpur.","Faiz <b><font color=""red"">birthPlace</font></b> Kuala Lumpur",,,,,,,,,,,,,,,,,,,,,,,,,,
"Faiz bin Khaleed (born September 15, 1980 in Kuala Lumpur, Malaysia) is a Malaysian military dentist with the Royal Malaysian Armed Forces.","Faiz bin Khaleed <b><font color=""red"">birthPlace</font></b> Kuala Lumpur",,,,,,,,,,,"Faiz bin Khaleed <b><font color=""red"">occupation</font></b> military dentist",,,,,,,,,,,,,,,
"Wilmore served as CAPCOM during the ascent and landing of Space ShuttleAtlantis on STS-135, the historic final flight of NASA's 30-year Shuttle program.","STS-135 <b><font color=""red"">operator</font></b> program",,,,,,,,,,,"STS-135 <b><font color=""red"">operator</font></b> program",,,,,,,,,"Shuttle <b><font color=""red"">genre</font></b> flight","Wilmore <b><font color=""red"">type</font></b> program","Wilmore <b><font color=""red"">type</font></b> program",,,,
"Wilmore was selected as a pilot by NASA in July 2000, and reported for training that August.","Wilmore <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Barry Wilmore graduated from Mt. Juliet High School in Mt. Juliet, Tennessee.","Mt. Juliet High School <b><font color=""red"">location</font></b> Tennessee",,,,,,,,,,,"Barry Wilmore <b><font color=""red"">birthPlace</font></b> Tennessee",,,,,,,,,,,,,,,
"Prior to being selected as a NASA astronaut in July 2000, Wilmore was an experienced Navy test pilot.","Wilmore <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Wilmore <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Wilmore <b><font color=""red"">occupation</font></b> test pilot",,,,,,
"Barry Eugene ""Butch"" Wilmore (born December 29, 1962) is a NASA astronaut and United States Navy test pilot.","Butch <b><font color=""red"">militaryBranch</font></b> United States Navy",,,,,,,,,,,"Barry <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Barry <b><font color=""red"">type</font></b> astronaut","Barry <b><font color=""red"">rank</font></b> United States Navy",,,,,
"Onufriyenko performed his eight career spacewalk on January 25, 2002 when he and NASA astronaut Daniel Bursch ventured out into space from the Pirs airlock.","Onufriyenko <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Daniel Bursch <b><font color=""red"">type</font></b> space",,,,,,,,,"Daniel Bursch <b><font color=""red"">type</font></b> astronaut","Daniel Bursch <b><font color=""red"">type</font></b> space",,,,,
Onufrienko and NASA astronaut Carl Walz relocated the cargo boom for the Russian Strela crane.,"Onufrienko <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Carl Walz <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Carl Walz <b><font color=""red"">type</font></b> astronaut",,,,,,
Onufriyenko returned to space on board Space ShuttleEndeavour's STS-108 mission.,"Onufriyenko <b><font color=""red"">mission</font></b> STS-108",,,,,,,,,,,,,,,,,,,,,,,,,,
Onufrienko again served as Commander on ISS Expedition 4.,"Onufrienko <b><font color=""red"">mission</font></b> Expedition 4",,,,,,,,,,,,,,,,,,,,,,,,,,
"Altogether, on board Soyuz TM-23 and Mir, Onufriyenko logged 193 days in space.","Onufriyenko <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,,,,,,,,,,,,,,,,,,
"On September 2, 1996, Onufriyenko, Usachev and Claudie Andr-Deshays returned to Earth on board the Soyuz TM-23 capsule.","Onufriyenko <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,,,"Claudie Andr-Deshays <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,"Soyuz TM-23 <b><font color=""red"">crewLanding</font></b> Claudie Andr-Deshays",,,,,,
Onufriyenko and Yuri Usachov were joined by French astronaut Claudie Andr-Deshays after the departure of Shannon Lucid.,"Onufriyenko <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Yuri Usachov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Claudie Andr-Deshays <b><font color=""red"">birthPlace</font></b> French","Claudie Andr-Deshays <b><font color=""red"">nationality</font></b> French","Claudie Andr-Deshays <b><font color=""red"">type</font></b> astronaut","Shannon Lucid <b><font color=""red"">type</font></b> astronaut",,,
"One month later, he and Yuri Usachov were joined by NASA astronaut Shannon Lucid.","Yuri Usachov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Shannon Lucid <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Shannon Lucid <b><font color=""red"">type</font></b> astronaut",,,,,,
"The Soyuz TM-23 spacecraft carrying Onufriyenko with cosmonaut Yury Usachov lifted off from the Baikonur Cosmodrome on February 21, 1996 at 12:34:05 UTC.","Onufriyenko <b><font color=""red"">mission</font></b> Soyuz TM-23",,,,,,,,,,,"Soyuz TM-23 <b><font color=""red"">crewMembers</font></b> Yury Usachov",,,,,,,,,,,,,,,
"Onufriyenko served as a pilot in the Soviet (later Russian) Air Force, where he logged over 800 flight hours.","Onufriyenko <b><font color=""red"">birthPlace</font></b> Soviet",,,,,,,,,,,"Onufriyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,"Russian <b><font color=""red"">establishedEvent</font></b> Soviet",,,,,,
"Onufriyenko was born in Ryasne, Zolochiv Raion of Kharkiv Oblast, Soviet Union (now Ukraine).","Onufriyenko <b><font color=""red"">birthPlace</font></b> Ryasne",,,,,,,,,,,"Onufriyenko <b><font color=""red"">birthPlace</font></b> Kharkiv Oblast",,,,,,,,,"Onufriyenko <b><font color=""red"">birthPlace</font></b> Soviet Union","Onufriyenko <b><font color=""red"">birthPlace</font></b> now Ukraine",,,,,
"Col. Yuri Ivanovich Onufriyenko (Russian: ???? ???????? ??????????, Ukrainian: ???? ???????? ??????????) (born 6 February 1961) is a Russian cosmonaut.","Yuri Ivanovich Onufriyenko <b><font color=""red"">rank</font></b> Col.",,,,,,,,,,,"Yuri Ivanovich Onufriyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,"Yuri Ivanovich Onufriyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,
"Each year, the Space Foundation, in partnership with the Astronauts Memorial Foundation and NASA, present the Alan Shepard Technology in Education Award for outstanding contributions by K12 educators or district-level administrators to educational technology.","Alan Shepard <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"educators <b><font color=""red"">activitySector</font></b> Education",,,,,,,,,,,,,,,
The first day of issue ceremony was held at NASA's Kennedy Space Center Visitor Complex.,"Kennedy <b><font color=""red"">parentOrganisation</font></b> Space",,,,,,,,,,,"Center <b><font color=""red"">parentAgency</font></b> Space",,,,,,,,,"Kennedy <b><font color=""red"">parentOrganisation</font></b> Space","Center <b><font color=""red"">parentAgency</font></b> Space",,,,,
"On May 4, 2011, the U.S. Postal Service issued a first-class stamp in Shepard's honor, the first U.S. stamp to depict a specific astronaut.","Shepard <b><font color=""red"">country</font></b> U.S.",,,,,,,,,,,"honor <b><font color=""red"">country</font></b> U.S.",,,,,,,,,,,,,,,
"In a 2010 Space Foundation survey, Shepard was ranked as the ninth most popular space hero (tied with astronauts Buzz Aldrin and Gus Grissom).","Shepard <b><font color=""red"">type</font></b> astronauts",,,,,,,,,,,"Buzz Aldrin <b><font color=""red"">type</font></b> astronauts",,,,,,,,,"Gus Grissom <b><font color=""red"">type</font></b> astronauts",,,,,,
"Alan B. Shepard High School, in Palos Heights, Illinois, which opened in 1976, was named in his honor.","Alan B. Shepard High School <b><font color=""red"">city</font></b> Palos Heights",,,,,,,,,,,"Alan B. Shepard High School <b><font color=""red"">state</font></b> Illinois",,,,,,,,,"Palos Heights <b><font color=""red"">isPartOf</font></b> Illinois",,,,,,
"His high school alma mater in Derry, Pinkerton Academy, has a building named after him; and the school team name is the Astros after his career as an astronaut.","Pinkerton Academy <b><font color=""red"">city</font></b> Derry",,,,,,,,,,,,,,,,,,,,,,,,,,
"Following an act of Congress, the post office in Derry is designated the Alan B. Shepard, Jr.","the Alan B. Shepard <b><font color=""red"">birthPlace</font></b> Derry",,,,,,,,,,,,,,,,,,,,,,,,,,
"Additionally, Interstate 565 in northern Alabama connecting Decatur and Huntsville is officially the Admiral Alan B. Shepard Highway.","Decatur and Huntsville <b><font color=""red"">isPartOf</font></b> Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,
It passes through his native Derry (however with no junctions) for a short distance before entering Londonderry to the north and Windham to the south.,"Derry <b><font color=""red"">county</font></b> Londonderry",,,,,,,,,,,"Derry <b><font color=""red"">country</font></b> the north",,,,,,,,,"Londonderry <b><font color=""red"">isPartOf</font></b> the north",,,,,,
"Interstate 93 in New Hampshire, from the Massachusetts border to its intersection with the F.E. Everett Turnpike (which is also the northern terminus of Interstate 293) in Hooksett, is named in his honor.","Interstate 93 <b><font color=""red"">routeJunction</font></b> Hooksett",,,,,,,,,,,"Massachusetts <b><font color=""red"">spokenIn</font></b> New Hampshire",,,,,,,,,"Hooksett <b><font color=""red"">isPartOf</font></b> New Hampshire","Interstate 293 <b><font color=""red"">routeEnd</font></b> the F.E. Everett Turnpike","Interstate 293 <b><font color=""red"">routeJunction</font></b> the F.E. Everett Turnpike","the F.E. Everett Turnpike <b><font color=""red"">routeJunction</font></b> Hooksett","Interstate 293 <b><font color=""red"">routeEnd</font></b> Hooksett",,
